externalSampleId bilirubin creatinine cholesterol glucose urea weight fat_weight
BL2453-953 0.7 0.21 152 330 17 26.53 0.247408
BL2453-953 0.7 0.21 152 330 17 21.1 0.247408
BL2453-965 0.3 0.24 154 335 20 24.9 0.185875
BL2453-965 0.3 0.24 154 335 20 23.57 0.185875
BL2453-965 0.3 0.24 154 335 20 23.57 0.185875
BL2453-965 0.3 0.24 154 335 20 26.34 0.185875
BL2453-965 0.3 0.24 154 335 20 27.87 0.185875
BL2455-613 0.3 0.22 92 375 16 23.14 0.185731
BL2455-613 0.3 0.22 92 375 16 23.14 0.185731
BL2455-613 0.3 0.22 92 375 16 18.87 0.185731
BL2455-613 0.3 0.22 92 375 16 23.74 0.185731
BL2455-633 0.4 0.19 147 341 19 32.47 0.245416
BL2455-633 0.4 0.19 147 341 19 27.75 0.245416
BL2455-633 0.4 0.19 147 341 19 26.64 0.245416
BL2455-633 0.4 0.19 147 341 19 33.26 0.245416
BL2455-633 0.4 0.19 147 341 19 32.47 0.245416
BL2459-1502 0.3 0.21 106 391 20 20.71 0.169175
BL2459-1502 0.3 0.21 106 391 20 28.92 0.169175
BL2459-1502 0.3 0.21 106 391 20 27.43 0.169175
BL2459-1502 0.3 0.21 106 391 20 28.92 0.169175
BL2459-1517 0.3 0.24 157 401 23 33.71 0.215308
BL2459-1517 0.3 0.24 157 401 23 27.58 0.215308
BL2459-1517 0.3 0.24 157 401 23 27.58 0.215308
BL2459-1517 0.3 0.24 157 401 23 30.43 0.215308
BL2459-1517 0.3 0.24 157 401 23 32.89 0.215308
BL2475-1563 0.2 0.247 105.7 412.5 23 25.27 0.202896
BL2475-1563 0.2 0.247 105.7 412.5 23 22.62 0.202896
BL2475-1563 0.2 0.247 105.7 412.5 23 25.52 0.202896
BL2475-1563 0.2 0.247 105.7 412.5 23 25.52 0.202896
BL2475-1573 0.32 0.254 164.8 386.9 26 28.85 0.22795
BL2475-1573 0.32 0.254 164.8 386.9 26 34.16 0.22795
BL2475-1573 0.32 0.254 164.8 386.9 26 34.16 0.22795
BL2475-1573 0.32 0.254 164.8 386.9 26 27.4 0.22795
BL2475-1573 0.32 0.254 164.8 386.9 26 31.72 0.22795
BL2476-1243 0.2 0.23 89 341 20 25.24 0.212989
BL2476-1243 0.2 0.23 89 341 20 24.08 0.212989
BL2476-1243 0.2 0.23 89 341 20 19.43 0.212989
BL2476-1243 0.2 0.23 89 341 20 25.08 0.212989
BL2476-1253 0.2 0.22 132 316 27 26.89 0.149201
BL2476-1253 0.2 0.22 132 316 27 26.89 0.149201
BL2476-1253 0.2 0.22 132 316 27 22.27 0.149201
BL2476-1253 0.2 0.22 132 316 27 23.76 0.149201
